solarSystemID,solarSystemName,security,x,y,z,fromSolarSystemID,toSolarSystemID,,,,,
30000001,Tanoo,0.858324069,-8.85108E+16,4.23694E+16,-4.45135E+16,30000001,30000003,,,,,
30000002,Lashesih,0.751689147,-1.03301E+17,4.17075E+16,-2.98563E+16,30000001,30000005,,,,,
30000003,Akpivem,0.846292352,-9.11741E+16,4.39382E+16,-5.64828E+16,30000001,30000007,,,,,
30000004,Jark,0.817000531,-9.36759E+16,5.06042E+16,-2.84035E+16,30000002,30000005,,,,,
30000005,Sasta,0.814336728,-9.47822E+16,4.31262E+16,-3.18967E+16,30000002,30002973,,,,,
30000006,Zaid,0.864229153,-8.47922E+16,5.23135E+16,-5.70739E+16,30000003,30000001,,,,,
30000007,Yuzier,0.906555511,-9.03675E+16,5.34477E+16,-4.90404E+16,30000003,30000007,,,,,
30000008,Nirbhi,0.882115715,-9.15761E+16,5.73328E+16,-5.52551E+16,30000003,30000052,,,,,
30000009,Sooma,0.577819482,-8.40947E+16,6.92059E+16,-7.52261E+16,30000003,30000084,,,,,
30000010,Chidah,0.539052013,-8.05889E+16,6.16456E+16,-7.97709E+16,30000004,30000005,,,,,
30000011,Shenela,0.456959355,-6.95755E+16,5.71223E+16,-8.06598E+16,30000004,30002509,,,,,
30000012,Asabona,0.322884273,-8.87871E+16,5.75304E+16,-9.63091E+16,30000005,30000001,,,,,
30000013,Onsooh,0.442816633,-8.17787E+16,6.02527E+16,-8.66354E+16,30000005,30000002,,,,,
30000014,Shamahi,0.355242291,-7.77507E+16,7.17225E+16,-8.7922E+16,30000005,30000004,,,,,
30000015,Sendaya,0.293932972,-7.50359E+16,4.7721E+16,-9.51724E+16,30000005,30000032,,,,,
30000016,Nazhgete,0.391497056,-8.36312E+16,6.37238E+16,-8.98138E+16,30000006,30000008,,,,,
30000017,Futzchag,0.17222856,-6.40986E+16,4.1272E+16,-1.01139E+17,30000006,30000023,,,,,
30000018,Kazna,0.231262625,-7.01424E+16,3.84886E+16,-9.67204E+16,30000007,30000001,,,,,
30000019,Podion,0.109704973,-5.87099E+16,2.60445E+16,-1.01529E+17,30000007,30000003,,,,,
30000020,Lilmad,0.160449193,-7.28554E+16,5.29099E+16,-1.08165E+17,30000007,30000008,,,,,
30000021,Kuharah,-1,-7.43798E+16,3.2539E+16,-1.00531E+17,30000008,30000006,,,,,
30000022,Jayneleb,0.113839957,-6.08394E+16,3.30318E+16,-1.05459E+17,30000008,30000007,,,,,
30000023,Fovihi,0.869394349,-8.15533E+16,5.04513E+16,-5.11546E+16,30000008,30000057,,,,,
30000024,Kiereend,0.840834548,-7.74791E+16,5.11342E+16,-4.78852E+16,30000008,30000076,,,,,
30000025,Rashy,0.803265994,-7.41811E+16,5.09988E+16,-4.42919E+16,30000009,30000010,,,,,
30000026,Ordize,0.695564173,-6.68746E+16,4.73055E+16,-4.16045E+16,30000010,30000009,,,,,
30000027,Psasa,0.749913289,-7.21839E+16,4.29844E+16,-4.50812E+16,30000010,30000011,,,,,
30000028,Eshtah,0.768432631,-7.12236E+16,5.07528E+16,-4.64827E+16,30000010,30000013,,,,,
30000029,Lachailes,0.573051227,-6.14187E+16,3.95082E+16,-3.63464E+16,30000011,30000010,,,,,
30000030,Kasrasi,0.573075677,-5.99323E+16,4.32334E+16,-4.15647E+16,30000011,30000038,,,,,
30000031,Mohas,0.681783438,-8.09314E+16,2.66125E+16,-2.61742E+16,30000012,30000013,,,,,
30000032,Hasiari,0.798187617,-8.78957E+16,3.90625E+16,-2.68006E+16,30000012,30000073,,,,,
30000033,Radima,0.753919952,-8.66697E+16,3.02539E+16,-2.31092E+16,30000013,30000010,,,,,
30000034,Alkez,0.78212291,-8.06056E+16,3.65896E+16,-2.2409E+16,30000013,30000012,,,,,
30000035,Nimambal,0.59405057,-7.89729E+16,2.20217E+16,-3.04377E+16,30000013,30000014,,,,,
30000036,Yishinoon,0.424718182,-6.90828E+16,1.51946E+16,-2.87809E+16,30000013,30000015,,,,,
30000037,Uplingur,0.422069315,-6.62234E+16,1.63261E+16,-2.57304E+16,30000013,30000016,,,,,
30000038,Dooz,0.423728855,-6.21273E+16,4.876E+16,-7.70619E+16,30000014,30000013,,,,,
30000039,Bayuka,0.400722037,-5.97794E+16,3.91231E+16,-7.32243E+16,30000014,30000090,,,,,
30000040,Uzistoon,0.390645601,-5.78931E+16,4.5833E+16,-7.4838E+16,30000014,30000098,,,,,
30000041,Bairshir,0.364087747,-5.95005E+16,3.0602E+16,-7.04505E+16,30000015,30000013,,,,,
30000042,Moh,0.472835004,-6.26741E+16,3.37683E+16,-6.42458E+16,30000015,30000018,,,,,
30000043,Sari,0.379343122,-6.27794E+16,5.20394E+16,-8.18461E+16,30000015,30000046,,,,,
30000044,Faspera,0.128258476,-8.72758E+16,2.44225E+16,-1.07307E+17,30000015,30001047,,,,,
30000045,Jaymass,0.21631134,-8.2888E+16,3.22771E+16,-9.96304E+16,30000016,30000013,,,,,
30000046,Mifrata,0.30380299,-7.86399E+16,4.26405E+16,-9.45496E+16,30000017,30000018,,,,,
30000047,Majamar,0.369186258,-7.33815E+16,3.39741E+16,-8.41248E+16,30000017,30000020,,,,,
30000048,Ihal,0.492701245,-8.48114E+16,4.71688E+16,-8.40601E+16,30000017,30000022,,,,,
30000049,Camal,0.212976885,-8.93931E+16,4.03234E+16,-1.03506E+17,30000018,30000015,,,,,
30000050,Fera,0.477246354,-7.42992E+16,3.93827E+16,-7.89993E+16,30000018,30000017,,,,,
30000051,Juddi,0.649136639,-8.1696E+16,4.33125E+16,-7.19582E+16,30000019,30000022,,,,,
30000052,Maspah,0.799900977,-8.42982E+16,4.09332E+16,-5.76655E+16,30000020,30000017,,,,,
30000053,Ibaria,0.730978723,-8.50008E+16,4.31331E+16,-6.68612E+16,30000021,30002770,,,,,
30000054,Shala,0.715563758,-8.50396E+16,3.32539E+16,-5.78339E+16,30000021,30045328,,,,,
30000055,Zemalu,0.725158525,-7.8353E+16,3.77083E+16,-5.84419E+16,30000022,30000017,,,,,
30000056,Khankenirdia,0.613595835,-7.6448E+16,4.23234E+16,-7.14953E+16,30000022,30000019,,,,,
30000057,Nikh,0.774198461,-8.57144E+16,6.64852E+16,-6.10248E+16,30000023,30000006,,,,,
30000058,Amphar,0.702186995,-8.15063E+16,7.19421E+16,-6.00773E+16,30000023,30000024,,,,,
30000059,Salashayama,0.665586231,-7.84621E+16,7.57217E+16,-5.35019E+16,30000023,30000030,,,,,
30000060,Janus,0.545570545,-6.70197E+16,7.51455E+16,-5.67517E+16,30000024,30000023,,,,,
30000061,Agha,0.718782621,-8.55291E+16,6.85859E+16,-6.46907E+16,30000024,30000025,,,,,
30000062,Iosantin,0.45034335,-6.04263E+16,7.52802E+16,-5.93838E+16,30000024,30000027,,,,,
30000063,Orva,0.509949589,-5.88313E+16,6.50718E+16,-5.85355E+16,30000024,30000028,,,,,
30000064,Zet,0.569697661,-6.18991E+16,6.33903E+16,-5.7779E+16,30000025,30000024,,,,,
30000065,Akhrad,0.358476525,-5.54678E+16,7.50419E+16,-6.56678E+16,30000025,30000026,,,,,
30000066,Pirohdim,0.62869609,-6.60537E+16,6.00167E+16,-6.08303E+16,30000025,30000027,,,,,
30000067,Sharir,0.396848687,-6.09415E+16,7.79957E+16,-6.56722E+16,30000025,30000028,,,,,
30000068,Usroh,0.597457508,-8.35119E+16,7.8632E+16,-6.37398E+16,30000026,30000025,,,,,
30000069,Thiarer,0.542032781,-6.00383E+16,5.69603E+16,-6.15744E+16,30000026,30000028,,,,,
30000070,Gomati,0.387421324,-1.02466E+17,6.17391E+16,-9.28053E+16,30000026,30000029,,,,,
30000071,Jangar,0.527328625,-1.03711E+17,7.1636E+16,-8.16962E+16,30000026,30000030,,,,,
30000072,Nakah,0.363864338,-1.15777E+17,8.1777E+16,-9.82267E+16,30000027,30000024,,,,,
30000073,Irshah,0.429506645,-9.53234E+16,6.08972E+16,-8.94544E+16,30000027,30000025,,,,,
30000074,Hasateem,0.426496412,-1.09125E+17,6.86475E+16,-9.1823E+16,30000027,30000028,,,,,
30000075,Assah,0.297802199,-1.15655E+17,7.41121E+16,-1.03188E+17,30000028,30000024,,,,,
30000076,Tidacha,0.820099045,-9.66661E+16,6.50657E+16,-5.62088E+16,30000028,30000025,,,,,
30000077,Odlib,0.824516601,-1.0058E+17,6.17117E+16,-5.59838E+16,30000028,30000026,,,,,
30000078,Jofan,0.779548204,-1.07344E+17,6.01532E+16,-5.55596E+16,30000028,30000027,,,,,
30000079,Milu,0.769625318,-9.60661E+16,6.83047E+16,-6.00428E+16,30000028,30000064,,,,,
30000080,Yadi,0.750268476,-1.07978E+17,6.12864E+16,-6.01416E+16,30000029,30000026,,,,,
30000081,Buftiar,0.708741297,-1.1229E+17,6.5924E+16,-5.78194E+16,30000029,30000030,,,,,
30000082,Jarizza,0.76543098,-9.95521E+16,4.83863E+16,-6.52665E+16,30000030,30000023,,,,,
30000083,Ejahi,0.728910235,-1.06307E+17,5.97315E+16,-6.55131E+16,30000030,30000026,,,,,
30000084,Asghatil,0.794778168,-9.55558E+16,4.33534E+16,-6.14057E+16,30000030,30000029,,,,,
